,estacao,endereco,linha,linhaID,latitude,longitude
59,Vila União,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9109",Linha 15-Prata,5,-23.6028422,-46.5147342
60,Jardim Planalto,"Av. Sapopemba, 9930",Linha 15-Prata,5,-23.6063912,-46.5080177
61,Sapopemba,"Av. Sapopemba, 11260",Linha 15-Prata,5,-23.6148349,-46.5004889
62,Fazenda Da Juta,"Av. Sapopemba, 12780",Linha 15-Prata,5,-23.6104125,-46.4847113
63,São Mateus,"Av. Sapopemba, 15126",Linha 15-Prata,5,-23.6207217,-46.4664338
64,Butantã,"Av. Vital Brasil, 427",Linha 4-Amarela,4,-23.57161977268983,-46.708163606945014
65,Pinheiros,Largo da Batata,Linha 4-Amarela,4,-23.567882,-46.70176
66,Fradique Coutinho,"R. dos Pinheiros, 789",Linha 4-Amarela,4,-23.565950829739872,-46.6842272051001
67,Oscar Freire,"Av. Rebouças, 2500",Linha 4-Amarela,4,-23.55991750175105,-46.67213319477096
68,Paulista,"Av. Paulista, 2355",Linha 4-Amarela,4,-23.55505991181358,-46.66202807626545
69,Higienópolis-Mackenzie,"Rua da Consolação, 243",Linha 4-Amarela,4,-23.550328,-46.648852
70,República,"Praça da República, s/nº",Linha 4-Amarela,4,-23.543915,-46.6402
71,Luz,"Praça da Luz, 1",Linha 4-Amarela,4,-23.534805,-46.633316
72,Faria Lima,Pinheiros,Linha 4-Amarela,4,-23.56719796390153,-46.693279462770136
0, Júlio Prestes,R. Marquês de Itu – Vila Buarque,Linha 8-Diamante,8,-23.5341412,-46.6398746
1, Palmeiras-Barra Funda,"Rua Bento Teobaldo Ferraz, 119 – Barra Funda",Linha 8-Diamante,8,-23.5254689,-46.66742
2, Lapa,"Lapa de Baixo, São Paulo",Linha 8-Diamante,8,-23.520327,-46.69895409999999
3, Domingo De Moraes,"Rua João Tibiriçá, Lapa",Linha 8-Diamante,8,-23.5191434,-46.7215832
4, Imperatriz Leopoldina,"Av. Imperatriz Leopoldina, 1641 – Vila Leopoldina",Linha 8-Diamante,8,-23.5237733,-46.7375625
5, Presidente Altino,"Industrial Autonomistas, Osasco",Linha 8-Diamante,8,-23.53124,-46.7618
6, Osasco,"Centro, Osasco",Linha 8-Diamante,8,-23.5318198,-46.7916315
7, Comandante Sampaio,"Av. dos Autonomistas, 4970",Linha 8-Diamante,8,-23.525708,-46.7957153
8, Quitaúna,"Av. dos Autonomistas – Km 18, Osasco",Linha 8-Diamante,8,-23.5229152,-46.8071981
9, General Miguel Costa,"Av. dos Autonomistas – Km 18, Osasco",Linha 8-Diamante,8,-23.5235557,-46.8152962
10, Carapicuíba,"Vila Gustavo Correia, Carapicuíba",Linha 8-Diamante,8,-23.5187115,-46.8356498
11, Santa Teresinha,"Rua Dep. Emílio Carlos, 900",Linha 8-Diamante,8,-23.4921793,-46.636143
12, Antônio João,"Nova Aldeinha, Barueri",Linha 8-Diamante,8,-23.5171849,-46.85808590000001
13, Barueri,"Centro, Barueri",Linha 8-Diamante,8,-23.5128451,-46.875563
14, Jardim Belval,"Vila Iracema, Barueri",Linha 8-Diamante,8,-23.51435,-46.88935
15, Jardim Silveira,"Vila Iracema, Barueri",Linha 8-Diamante,8,-23.52348,-46.893437
16, Jandira,"Av. João Balhesteiro, 2013 – Centro, Jandira",Linha 8-Diamante,8,-23.5278556,-46.90286529999999
17, Sagrado Coração,"Jardim Alvorada, Jandira",Linha 8-Diamante,8,-23.5557714,-46.6395571
18, Engenheiro Cardoso,"Jardim Dona Elvira, Itapevi",Linha 8-Diamante,8,-20.0809966,-49.9136408
