,id,estacao,endereco,linha,latitude,longitude,linhaID
53,56,PALMEIRAS-BARRA FUNDA,"R. Bento Teobaldo Ferraz, 119",LINHA 3-VERMELHA,-23.5237576,-46.6664888,3
54,57,VILA PRUDENTE,"Av. Prof. Luiz Ignácio de Anhaia Mello, 1359",LINHA 15-PRATA,-23.6727651,-46.4959138,5
55,58,ORATÓRIO,"Av. do Oratório, 165",LINHA 15-PRATA,-23.5826504,-46.5619506,5
56,59,SÃO LUCAS,"Av. Prof. Luiz Ignácio de Anhaia Mello, 5345",LINHA 15-PRATA,-23.5887654,-46.5444568,5
57,60,CAMILO HADDAD,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6620",LINHA 15-PRATA,-23.5967472,-46.5367494,5
58,61,VILA TOSTÓI,"Av. Prof. Luiz Ignácio de Anhaia Mello, 7712",LINHA 15-PRATA,-23.6011333,-46.5271397,5
59,62,VILA UNIÃO,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9109",LINHA 15-PRATA,-23.6028422,-46.5147342,5
60,63,JARDIM PLANALTO,"Av. Sapopemba, 9930",LINHA 15-PRATA,-23.6063912,-46.5080177,5
61,64,SAPOPEMBA,"Av. Sapopemba, 11260",LINHA 15-PRATA,-23.6148349,-46.5004889,5
62,65,FAZENDA DA JUTA,"Av. Sapopemba, 12780",LINHA 15-PRATA,-23.6104125,-46.4847113,5
63,66,SÃO MATEUS,"Av. Sapopemba, 15126",LINHA 15-PRATA,-23.6207217,-46.4664338,5
64,67,BUTANTÃ,"Av. Vital Brasil, 427",LINHA 4-AMARELA,-23.57161977268983, -46.708163606945014,4
65,68,PINHEIROS,"Largo da Batata",LINHA 4-AMARELA,-23.567882,-46.701760,4
66,69,FRADIQUE COUTINHO,"R. dos Pinheiros, 789",LINHA 4-AMARELA,-23.565950829739872, -46.6842272051001,4
67,70,OSCAR FREIRE,"Av. Rebouças, 2500",LINHA 4-AMARELA,-23.55991750175105, -46.67213319477096,4
67,71,PAULISTA,"Av. Paulista, 2355",LINHA 4-AMARELA,-23.55505991181358, -46.66202807626545,4
68,72,HIGIENÓPOLIS-MACKENZIE,"Rua da Consolação, 243",LINHA 4-AMARELA,-23.550328,-46.648852,4
69,73,REPÚBLICA,"Praça da República, s/nº",LINHA 4-AMARELA,-23.543915,-46.640200,4
70,74,LUZ,"Praça da Luz, 1",LINHA 4-AMARELA,-23.534805,-46.633316,4
71,75,FARIA LIMA,"Pinheiros",LINHA 4-AMARELA,-23.56719796390153, -46.693279462770136,4
