id,estacao,endereco,linha,latitude,longitude,linhaID
57,VILA PRUDENTE,"Av. Prof. Luiz Ignácio de Anhaia Mello, 1359",LINHA 15-PRATA,-23.5951,-46.6006,5
58,ORATÓRIO,"Av. do Oratório, 165",LINHA 15-PRATA,-23.5953,-46.6044,5
59,SÃO LUCAS,"Av. Prof. Luiz Ignácio de Anhaia Mello, 5345",LINHA 15-PRATA,-23.6143,-46.6029,5
60,CAMILO HADDAD,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6620",LINHA 15-PRATA,-23.6271,-46.6102,5
61,VILA TOSTÓI,"Av. Prof. Luiz Ignácio de Anhaia Mello, 7712",LINHA 15-PRATA,-23.6345,-46.6176,5
62,VILA UNIÃO,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9109",LINHA 15-PRATA,-23.6421,-46.6267,5
63,JARDIM PLANALTO,"Av. Sapopemba, 9930",LINHA 15-PRATA,-23.6568,-46.6420,5
64,SAPOPEMBA,"Av. Sapopemba, 11260",LINHA 15-PRATA,-23.6678,-46.6498,5
65,FAZENDA DA JUTA,"Av. Sapopemba, 12780",LINHA 15-PRATA,-23.6798,-46.6567,5
66,SÃO MATEUS,"Av. Sapopemba, 15126",LINHA 15-PRATA,-23.6898,-46.6643,5
67,BUTANTÃ,"Av. Vital Brasil, 427",LINHA 4-AMARELA,-23.57161977268983, -46.708163606945014,4
68,PINHEIROS,"Largo da Batata",LINHA 4-AMARELA,-23.567882,-46.701760,4
69,FRADIQUE COUTINHO,"R. dos Pinheiros, 789",LINHA 4-AMARELA,-23.565950829739872, -46.6842272051001,4
70,OSCAR FREIRE,"Av. Rebouças, 2500",LINHA 4-AMARELA,-23.55991750175105, -46.67213319477096,4
71,PAULISTA,"Av. Paulista, 2355",LINHA 4-AMARELA,-23.55505991181358, -46.66202807626545,4
72,HIGIENÓPOLIS-MACKENZIE,"Rua da Consolação, 243",LINHA 4-AMARELA,-23.550328,-46.648852,4
73,REPÚBLICA,"Praça da República, s/nº",LINHA 4-AMARELA,-23.543915,-46.640200,4
74,LUZ,"Praça da Luz, 1",LINHA 4-AMARELA,-23.534805,-46.633316,4
75,FARIA LIMA,"Pinheiros",LINHA 4-AMARELA,-23.56719796390153, -46.693279462770136,4
